store_code,business_date,sales_amount_tax_ex,customer_count
"007","2026/06/01",767500,363
"007","2026/06/02",824300,364
"007","2026/06/03",860100,372
"007","2026/06/04",858100,403
"007","2026/06/05",764300,363
"007","2026/06/06",1025500,444
"007","2026/06/07",1205500,525
"007","2026/06/08",756700,329
"007","2026/06/09",683500,300
"007","2026/06/10",866800,402
"007","2026/06/11",864900,384
"007","2026/06/12",809700,356
"007","2026/06/13",918500,428
"007","2026/06/14",900700,426
"007","2026/06/15",721100,337
"007","2026/06/16",870800,375
"007","2026/06/17",628000,294
"007","2026/06/18",688100,310
"007","2026/06/19",879200,399
"007","2026/06/20",1171000,518
"007","2026/06/21",945800,444
"007","2026/06/22",872500,377
"007","2026/06/23",861900,390
"007","2026/06/24",856000,385
"007","2026/06/25",914900,406
"007","2026/06/26",829500,379
"007","2026/06/27",1053500,472
"007","2026/06/28",1119700,529
"007","2026/06/29",823400,356
"007","2026/06/30",691700,327

