store_code,business_date,sales_amount_tax_ex,customer_count
"004","2026/06/01",767900,417
"004","2026/06/02",616600,332
"004","2026/06/03",736000,394
"004","2026/06/04",616900,336
"004","2026/06/05",674100,353
"004","2026/06/06",1000900,533
"004","2026/06/07",826000,460
"004","2026/06/08",811200,447
"004","2026/06/09",754400,421
"004","2026/06/10",731200,374
"004","2026/06/11",696700,386
"004","2026/06/12",795700,414
"004","2026/06/13",832300,436
"004","2026/06/14",931700,525
"004","2026/06/15",585700,322
"004","2026/06/16",611900,327
"004","2026/06/17",660100,347
"004","2026/06/18",823800,446
"004","2026/06/19",582200,326
"004","2026/06/20",909100,484
"004","2026/06/21",866900,469
"004","2026/06/22",716300,371
"004","2026/06/23",619600,320
"004","2026/06/24",704600,387
"004","2026/06/25",742600,414
"004","2026/06/26",794100,426
"004","2026/06/27",979600,553
"004","2026/06/28",1023700,539
"004","2026/06/29",783200,425
"004","2026/06/30",593400,320

