store_code,business_date,sales_amount_tax_ex,customer_count
"001","2026/06/01",688900,301
"001","2026/06/02",685700,310
"001","2026/06/03",867800,383
"001","2026/06/04",944600,403
"001","2026/06/05",824600,354
"001","2026/06/06",1034500,469
"001","2026/06/07",1090100,506
"001","2026/06/08",902900,380
"001","2026/06/09",852700,395
"001","2026/06/10",844300,371
"001","2026/06/11",790800,352
"001","2026/06/12",879500,380
"001","2026/06/13",1116300,512
"001","2026/06/14",953300,423
"001","2026/06/15",666300,300
"001","2026/06/16",912700,389
"001","2026/06/17",927100,410
"001","2026/06/18",876900,389
"001","2026/06/19",812400,377
"001","2026/06/20",1006000,436
"001","2026/06/21",1023100,448
"001","2026/06/22",782800,338
"001","2026/06/23",733700,333
"001","2026/06/24",884600,393
"001","2026/06/25",734700,327
"001","2026/06/26",776700,337
"001","2026/06/27",969300,429
"001","2026/06/28",953300,410
"001","2026/06/29",879600,402
"001","2026/06/30",895600,401

