store_code,business_date,sales_amount_tax_ex,customer_count
"009","2026/06/01",561100,326
"009","2026/06/02",594200,347
"009","2026/06/03",534800,302
"009","2026/06/04",489000,285
"009","2026/06/05",579800,312
"009","2026/06/06",775200,435
"009","2026/06/07",638000,363
"009","2026/06/08",427700,250
"009","2026/06/09",464400,258
"009","2026/06/10",569600,315
"009","2026/06/11",412900,240
"009","2026/06/12",488600,262
"009","2026/06/13",746200,412
"009","2026/06/14",694600,410
"009","2026/06/15",573100,339
"009","2026/06/16",548800,302
"009","2026/06/17",516700,299
"009","2026/06/18",588100,338
"009","2026/06/19",534700,287
"009","2026/06/20",726200,397
"009","2026/06/21",804200,460
"009","2026/06/22",546700,298
"009","2026/06/23",611800,346
"009","2026/06/24",518400,288
"009","2026/06/25",490800,268
"009","2026/06/26",574800,333
"009","2026/06/27",654900,364
"009","2026/06/28",603200,355
"009","2026/06/29",467400,265
"009","2026/06/30",619200,340

