store_code,business_date,sales_amount_tax_ex,customer_count
"002","2026/06/01",654000,330
"002","2026/06/02",509900,264
"002","2026/06/03",670600,343
"002","2026/06/04",523100,277
"002","2026/06/05",555900,289
"002","2026/06/06",770700,404
"002","2026/06/07",738700,390
"002","2026/06/08",712500,348
"002","2026/06/09",645200,327
"002","2026/06/10",645800,331
"002","2026/06/11",511700,259
"002","2026/06/12",453700,243
"002","2026/06/13",761700,400
"002","2026/06/14",817200,415
"002","2026/06/15",647100,343
"002","2026/06/16",667100,348
"002","2026/06/17",640700,329
"002","2026/06/18",583700,286
"002","2026/06/19",671200,331
"002","2026/06/20",921400,456
"002","2026/06/21",713000,376
"002","2026/06/22",566600,289
"002","2026/06/23",647000,319
"002","2026/06/24",578900,297
"002","2026/06/25",634600,314
"002","2026/06/26",517700,275
"002","2026/06/27",783200,390
"002","2026/06/28",847600,447
"002","2026/06/29",661600,340
"002","2026/06/30",474100,253

