store_code,business_date,sales_amount_tax_ex,customer_count
"005","2026/06/01",549800,265
"005","2026/06/02",552600,274
"005","2026/06/03",607900,286
"005","2026/06/04",598300,292
"005","2026/06/05",613500,278
"005","2026/06/06",1060700,506
"005","2026/06/07",980900,466
"005","2026/06/08",540900,260
"005","2026/06/09",602200,289
"005","2026/06/10",795000,361
"005","2026/06/11",770900,362
"005","2026/06/12",806100,369
"005","2026/06/13",1063000,515
"005","2026/06/14",1010400,482
"005","2026/06/15",575200,264
"005","2026/06/16",577000,271
"005","2026/06/17",572600,261
"005","2026/06/18",552900,275
"005","2026/06/19",619200,283
"005","2026/06/20",1062600,483
"005","2026/06/21",1044500,495
"005","2026/06/22",719600,341
"005","2026/06/23",710400,328
"005","2026/06/24",590700,289
"005","2026/06/25",724900,361
"005","2026/06/26",647500,297
"005","2026/06/27",1020500,490
"005","2026/06/28",951200,466
"005","2026/06/29",651600,313
"005","2026/06/30",690300,321

