store_code,business_date,sales_amount_tax_ex,customer_count
"008","2026/06/01",569700,316
"008","2026/06/02",491500,287
"008","2026/06/03",471000,279
"008","2026/06/04",450600,248
"008","2026/06/05",502900,283
"008","2026/06/06",711900,419
"008","2026/06/07",628900,376
"008","2026/06/08",497600,298
"008","2026/06/09",500000,289
"008","2026/06/10",487100,286
"008","2026/06/11",548600,311
"008","2026/06/12",499500,289
"008","2026/06/13",547200,311
"008","2026/06/14",619500,344
"008","2026/06/15",498800,295
"008","2026/06/16",428700,236
"008","2026/06/17",427400,241
"008","2026/06/18",453400,255
"008","2026/06/19",403500,235
"008","2026/06/20",540700,313
"008","2026/06/21",575400,333
"008","2026/06/22",541400,304
"008","2026/06/23",414500,246
"008","2026/06/24",525100,292
"008","2026/06/25",542600,315
"008","2026/06/26",462900,277
"008","2026/06/27",723300,400
"008","2026/06/28",738000,412
"008","2026/06/29",512400,294
"008","2026/06/30",466700,254

